               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.042718,            0.027488,           0.0079134,             0.61874,             0.32008,             0.30909,              0.1462,            0.042865,            0.024993,           0.0088827,            0.003457,            0.003457,            0.003457
                  67,            0.042987,            0.027824,           0.0078412,             0.58259,             0.32418,             0.29748,             0.14221,            0.042794,             0.02514,           0.0087957,           0.0033321,           0.0033321,           0.0033321
                  68,            0.042684,            0.027811,           0.0079536,             0.60556,             0.30516,             0.29437,             0.14089,            0.043146,             0.02508,           0.0084658,           0.0032093,           0.0032093,           0.0032093
                  69,            0.042603,            0.027863,           0.0078356,             0.61697,             0.32676,             0.31109,              0.1436,            0.042934,            0.025078,           0.0085363,           0.0030888,           0.0030888,           0.0030888
                  70,            0.042903,            0.027615,           0.0077388,             0.63325,             0.32216,             0.30797,             0.14864,            0.043019,            0.025035,           0.0088151,           0.0029706,           0.0029706,           0.0029706
                  71,            0.042019,            0.027867,           0.0078212,             0.60773,             0.33363,             0.31224,             0.14807,            0.042647,            0.024881,           0.0088664,            0.002855,            0.002855,            0.002855
                  72,            0.042315,            0.027767,           0.0077777,             0.65344,             0.30941,             0.31493,             0.14943,            0.042797,            0.025024,           0.0088173,           0.0027419,           0.0027419,           0.0027419
                  73,             0.04229,            0.028479,           0.0074349,             0.57154,             0.34689,             0.31687,             0.15365,            0.042468,            0.024896,           0.0086925,           0.0026316,           0.0026316,           0.0026316
                  74,            0.041822,             0.02734,           0.0075263,             0.66917,             0.31549,             0.31854,             0.15137,            0.042409,            0.024885,           0.0085524,           0.0025241,           0.0025241,           0.0025241
                  75,            0.041534,            0.026695,           0.0075038,              0.6998,             0.30433,             0.32316,             0.15362,            0.042453,            0.024835,           0.0085479,           0.0024195,           0.0024195,           0.0024195
